month,year,temp
10,1817,44.5424
11,1817,46.463
12,1817,36.1544
1,1818,39.6464
2,1818,38.4512
3,1818,42.6056
4,1818,50.2898
5,1818,55.886
6,1818,65.7158
7,1818,67.4834
8,1818,64.0382
9,1818,58.7804
10,1818,51.0674
11,1818,46.8464
12,1818,35.5154
1,1819,40.1594
2,1819,40.9514
3,1819,44.0942
4,1819,51.6362
5,1819,58.4564
6,1819,61.6766
7,1819,66.8606
8,1819,66.0452
9,1819,60.0836
10,1819,50.0018
11,1819,39.9578
12,1819,37.1048
1,1820,31.5788
2,1820,38.3828
3,1820,40.3304
4,1820,52.1366
5,1820,57.7814
6,1820,60.4886
7,1820,64.697
8,1820,65.5394
9,1820,56.5556
10,1820,47.9444
11,1820,39.5042
12,1820,38.0984
1,1821,39.002
2,1821,35.6018
3,1821,44.5838
4,1821,52.1006
5,1821,53.708
6,1821,58.127
7,1821,62.2724
8,1821,65.6528
9,1821,60.8936
10,1821,50.2088
11,1821,47.8976
12,1821,44.5226
1,1822,39.2936
2,1822,43.3112
3,1822,49.3196
4,1822,50.7614
5,1822,60.8846
6,1822,68.2556
7,1822,65.6798
8,1822,63.941
9,1822,58.271
10,1822,53.3138
11,1822,47.5592
12,1822,32.6516
1,1823,31.334
2,1823,40.9046
3,1823,43.3706
4,1823,47.2244
5,1823,58.775
6,1823,58.9172
7,1823,62.7008
8,1823,65.1596
9,1823,59.387
10,1823,49.0568
11,1823,42.1268
12,1823,41.0072
1,1824,36.4514
2,1824,40.7156
3,1824,41.3978
4,1824,46.6574
5,1824,54.3254
6,1824,60.3788
7,1824,65.4566
8,1824,63.9212
9,1824,60.5642
10,1824,50.2142
11,1824,47.0444
12,1824,43.3256
1,1825,37.4684
2,1825,38.4404
3,1825,41.1296
4,1825,50.9198
5,1825,56.0264
6,1825,62.2076
7,1825,67.1432
8,1825,65.1722
9,1825,61.9016
10,1825,51.9764
11,1825,44.5334
12,1825,41.8208
1,1826,29.129
2,1826,41.297
3,1826,44.852
4,1826,49.1972
5,1826,54.5252
6,1826,63.3542
7,1826,68.1458
8,1826,68.3888
9,1826,60.6308
10,1826,53.087
11,1826,41.8118
12,1826,40.6742
1,1827,31.9298
2,1827,31.0748
3,1827,44.5982
4,1827,50.6318
5,1827,56.705
6,1827,61.3868
7,1827,66.8624
8,1827,63.248
9,1827,59.2034
10,1827,52.6244
11,1827,40.4834
12,1827,42.9242
1,1828,40.1828
2,1828,39.8462
3,1828,44.2742
4,1828,50.3744
5,1828,58.1162
6,1828,63.734
7,1828,65.471
8,1828,62.357
9,1828,59.9216
10,1828,51.0422
11,1828,44.3858
12,1828,42.2816
1,1829,30.0308
2,1829,36.2624
3,1829,41.8442
4,1829,48.0848
5,1829,58.019
6,1829,62.1032
7,1829,64.1678
8,1829,61.5254
9,1829,55.814
10,1829,48.002
11,1829,39.1964
12,1829,28.1516
1,1830,27.4838
2,1830,32.9522
3,1830,46.886
4,1830,52.0304
5,1830,57.7202
6,1830,60.2996
7,1830,66.0182
8,1830,62.7314
9,1830,55.3424
10,1830,49.8146
11,1830,44.24
12,1830,35.5532
1,1831,33.6704
2,1831,40.8362
3,1831,45.8222
4,1831,51.6866
5,1831,56.4098
6,1831,61.4138
7,1831,65.5214
8,1831,64.9274
9,1831,57.7904
10,1831,55.454
11,1831,43.241
12,1831,40.5662
1,1832,35.0654
2,1832,37.4144
3,1832,41.9684
4,1832,49.1396
